subject,question,gold,prediction,raw_response,correct
professional_law,"A landlord was the owner of a large, high-rise apartment building in a Midwestern city. On June 1, 2007, two tenants took possession of a three- bedroom apartment in the landlord's building under a three-year lease at a rental of $1,200 per month. Their lease (as all other leases given by the landlord) contained the following provisions:""The term of this lease shall be three years from the date hereof as long as all the agreements herein shall be faithfully performed. ""The two tenants lived in the apartment for two years. On June 10, 2009, however, a fire destroyed the apartment building. As a result, all the apartments in the building were rendered uninhabitable. After the two tenants were dispossessed from their apartment, the landlord brought suit against them to recover the rent due for the balance of the lease. The two tenants claim that they are no longer liable for rent or any other obligations under the lease. The landlord  tenants leasehold contract contained no provision regarding liability for fire. If the decision is in favor of the two tenants, it will most likely be because",C,C,C,True
sociology,Weber (1919) said that the state's monopoly of the use of force was legitimated by:,B,B,B,True
elementary_mathematics,Which expression is equivalent to 5(4x + 3) — 2x?,A,,,False
high_school_macroeconomics,"Congress has embarked on another round of expansionary fiscal policy to boost employment and get reelected. As chair of the central bank how would you reduce the ""crowding-out"" effect and what macroeconomic problem might your policy exacerbate?",D,D,D,True
professional_law,"Immediately after a shooting incident, the police chased one of the shooters into an apartment where he was apprehended and arrested. While in the apartment, a detective noticed some antique furniture that seemed of collectors' quality and was out of place in the squalidly furnished quarters. He moved and turned over the pieces to look for markings and insignia. He called headquarters, and was told that items with those markings and descriptions were stolen from a museum six months earlier. He seized the items and arrested another occupant, who claimed he owned the items, on charges of burglary. That suspect filed a motion to suppress based on there being a warrantless search without probable cause. The police relied on the plain view doctrine. Will the court likely suppress the evidence?",D,D,D,True
high_school_biology,Which of the following reactions occurs in the forward direction during glycolysis but in the reverse direction during fermentation?,C,C,C,True
world_religions, What is the name of the Jewish prayer used for mourning since the Middle Ages?,B,B,B,True
high_school_computer_science,"In Python 3, b = [11,13,15,17,19,21]; print(b[::2]) outputs what?",C,C,C,True
high_school_geography,The process of invasion and succession is a process involving migration and is best described as when,D,D,D,True
nutrition,"The vitamins which are lost most readily during cooking are:
",D,D,D,True
